product_id,fullname,brand,url_part,panel_type,spd_classification,spd_confidence,ground_truth_tech,ground_truth_qd_type,match_status,blue_peak_nm,blue_fwhm_nm,green_peak_nm,green_fwhm_nm,red_peak_nm,red_fwhm_nm,num_peaks,notes,spd_image_local
88601,LG G5 OLED,LG,lg-g5-oled,OLED,WOLED,high,,,NO_GT,451.8,21.5,534.3,32.6,625.8,39.3,3,B:452nm/21nm; G:534nm/33nm; R:626nm/39nm; panel_sub_type=WOLED,spd_images/lg-g5-oled_spd.jpg
131546,LG G6 OLED,LG,lg-g6-oled,OLED,WOLED,high,,,NO_GT,452.3,22.2,534.0,53.8,626.2,38.9,3,B:452nm/22nm; G:534nm/54nm; R:626nm/39nm; panel_sub_type=WOLED,spd_images/lg-g6-oled_spd.jpg
92233,LG QNED85A,LG,lg-qned85a,LCD,KSF,high,,,NO_GT,448.8,16.8,537.8,49.9,632.0,9.3,5,B:449nm/17nm; G:538nm/50nm; R:632nm/9nm,spd_images/lg-qned85a_spd.jpg
55174,LG QNED90T,LG,lg-qned90t,LCD,Pseudo QD,medium,,,NO_GT,446.1,17.1,536.6,36.6,626.8,44.8,3,B:446nm/17nm; G:537nm/37nm; R:627nm/45nm,spd_images/lg-qned90t_spd.jpg
96489,LG QNED92A,LG,lg-qned92a,LCD,QD-LCD,high,,,NO_GT,449.1,17.8,539.1,37.8,630.7,36.2,3,B:449nm/18nm; G:539nm/38nm; R:631nm/36nm,spd_images/lg-qned92a_spd.jpg
98323,LG UA77,LG,lg-ua77,LCD,WLED,high,,,NO_GT,444.3,17.3,526.8,69.8,604.4,78.1,3,B:444nm/17nm; G:527nm/70nm; R:604nm/78nm; R:fwhm_via_hwhm_right,spd_images/lg-ua77_spd.jpg
57721,LG UT75,LG,lg-ut75,LCD,WLED,high,,,NO_GT,446.6,18.2,527.0,70.5,604.8,77.1,3,B:447nm/18nm; G:527nm/70nm; R:605nm/77nm; R:fwhm_via_hwhm_right,spd_images/lg-ut75_spd.jpg
88503,Panasonic W70B,Panasonic,panasonic-w70b,LCD,WLED,high,,,NO_GT,447.8,16.3,526.3,67.2,604.1,76.6,3,B:448nm/16nm; G:526nm/67nm; R:604nm/77nm; R:fwhm_via_hwhm_right,spd_images/panasonic-w70b_spd.jpg
74025,Panasonic W95A,Panasonic,panasonic-w95a,LCD,QD-LCD,high,,,NO_GT,448.1,15.5,538.4,23.9,629.8,17.7,3,B:448nm/16nm; G:538nm/24nm; R:630nm/18nm,spd_images/panasonic-w95a_spd.jpg
74026,Panasonic Z85A OLED,Panasonic,panasonic-z85a-oled,OLED,WOLED,high,,,NO_GT,454.3,22.1,546.1,54.9,620.1,52.9,3,B:454nm/22nm; G:546nm/55nm; R:620nm/53nm; G:fwhm_via_hwhm_left; R:fwhm_via_hwhm_right; panel_sub_type=WOLED,spd_images/panasonic-z85a-oled_spd.jpg
118244,Panasonic Z8BA OLED,Panasonic,panasonic-z8ba-oled,OLED,WOLED,high,,,NO_GT,455.8,22.4,548.5,109.7,,,2,B:456nm/22nm; G:549nm/110nm; No red; panel_sub_type=WOLED,spd_images/panasonic-z8ba-oled_spd.jpg
74024,Panasonic Z95A OLED,Panasonic,panasonic-z95a-oled,OLED,WOLED,high,,,NO_GT,454.3,24.6,561.2,107.4,,,2,B:454nm/25nm; G:561nm/107nm; No red; panel_sub_type=WOLED,spd_images/panasonic-z95a-oled_spd.jpg
88502,Panasonic Z95B OLED,Panasonic,panasonic-z95b-oled,OLED,WOLED,high,,,NO_GT,452.0,21.6,534.1,53.6,625.8,40.4,3,B:452nm/22nm; G:534nm/54nm; R:626nm/40nm; panel_sub_type=WOLED,spd_images/panasonic-z95b-oled_spd.jpg
