product_id,fullname,brand,url_part,review_url,test_bench_id,test_bench_version,released_at,first_published_at,last_updated_at,sizes_available,product_type,display_type,backlight_type_v2,dimming_zone_count,color_architecture,qd_present,qd_material,spd_verified,marketing_label,panel_type,panel_sub_type,backlight_type_rtings,spd_classification,spd_confidence,blue_peak_nm,blue_fwhm_nm,green_peak_nm,green_fwhm_nm,red_peak_nm,red_fwhm_nm,mixed_usage,home_theater,gaming,sports,bright_room,color_score,brightness_score,black_level_score,contrast_ratio_score,native_contrast_score,sdr_dci_p3_coverage_pct,sdr_bt2020_coverage_pct,hdr_bt2020_coverage_itp_pct,sdr_real_scene_peak_nits,sdr_peak_10pct_nits,sdr_peak_2pct_nits,hdr_peak_100pct_nits,hdr_peak_50pct_nits,hdr_peak_25pct_nits,hdr_peak_10pct_nits,hdr_peak_2pct_nits,native_contrast,contrast_ratio,first_response_time_ms,total_response_time_ms,input_lag_1080p_ms,input_lag_4k_ms,native_refresh_rate,vrr_support,hdmi_forum_vrr,hdmi_ports,hdmi_21_speed,resolution,ground_truth_tech,ground_truth_qd_type,match_status,scraped_at,spd_image,spd_image_local
96118,Hisense U65QF,Hisense,hisense-u65qf,https://www.rtings.com/tv/reviews/hisense/u65qf,227,v2.2,2025-04-11 00:00:00 -0400,2025-06-20 10:14:16 -0400,2026-05-28 09:19:07 -0400,"55"" (55U65QF); 65"" (65U65QF); 75"" (75U65QF); 85"" (85U65QF); 100"" (100U65QF)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QLED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,144Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/hisense-u65qf_spd.jpg
50404,Hisense U6N,Hisense,hisense-u6n,https://www.rtings.com/tv/reviews/hisense/u6-u6n,227,v2.2,2024-04-01 00:00:00 -0400,2024-07-25 11:37:26 -0400,2026-03-16 15:05:31 -0400,"55"" (55U6N); 65"" (65U6N); 75"" (75U6N); 85"" (85U6N)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QLED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,60Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/hisense-u6n_spd.jpg
96104,Hisense U75QG,Hisense,hisense-u75qg,https://www.rtings.com/tv/reviews/hisense/u75qg,227,v2.2,2025-04-07 00:00:00 -0400,2025-06-13 12:04:05 -0400,2026-05-12 13:53:23 -0400,"55"" (55U75QG); 65"" (65U75QG); 75"" (75U75QG); 85"" (85U75QG); 100"" (100U75QG)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QLED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,165Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/hisense-u75qg_spd.jpg
50405,Hisense U7N,Hisense,hisense-u7n,https://www.rtings.com/tv/reviews/hisense/u7n-u7-u75n,227,v2.2,2024-04-01 00:00:00 -0400,2024-06-07 10:53:51 -0400,2026-03-17 10:14:06 -0400,"55"" (55U7N); 65"" (65U7N); 75"" (75U7N); 85"" (85U7N)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QLED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,144Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/hisense-u7n_spd.jpg
134076,Hisense U7SG,Hisense,hisense-u7sg,https://www.rtings.com/tv/reviews/hisense/u7sg,227,v2.2,2026-04-01 00:00:00 -0400,2026-04-30 09:43:40 -0400,2026-04-30 09:43:40 -0400,"55"" (55U7SG); 65"" (65U7SG); 75"" (75U7SG); 85"" (85U7SG); 100"" (100U7SG)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QLED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,165Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/hisense-u7sg_spd.jpg
50406,Hisense U8N,Hisense,hisense-u8n,https://www.rtings.com/tv/reviews/hisense/u8-u8n,227,v2.2,2024-04-01 00:00:00 -0400,2024-05-27 11:16:22 -0400,2026-03-16 12:38:33 -0400,"55"" (55U8N); 65"" (65U8N); 75"" (75U8N); 85"" (85U8N); 100"" (100U8N)",tv,LCD,,,QD-LCD,Yes,InP,Yes,ULED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,144Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/hisense-u8n_spd.jpg
96125,Hisense U8QG,Hisense,hisense-u8qg,https://www.rtings.com/tv/reviews/hisense/u8qg,227,v2.2,2025-04-07 00:00:00 -0400,2025-05-23 09:54:14 -0400,2026-05-20 10:54:30 -0400,"55"" (55U8QG); 65"" (65U8QG); 75"" (75U8QG); 85"" (85U8QG); 100"" (100U8QG)",tv,LCD,,,QD-LCD,Yes,InP,Yes,ULED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,165Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/hisense-u8qg_spd.jpg
59962,Hisense U9N,Hisense,hisense-u9n,https://www.rtings.com/tv/reviews/hisense/u9n,197,v2.0.1,2024-08-01 00:00:00 -0400,2025-01-23 15:20:50 -0500,2025-05-08 10:57:38 -0400,"75"" (75U9N); 85"" (85U9N)",tv,LCD,,,QD-LCD,Yes,InP,Yes,ULED,LCD,IPS,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,144Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/hisense-u9n_spd.jpg
49540,LG B4 OLED,LG,lg-b4-oled,https://www.rtings.com/tv/reviews/lg/b4-oled,227,v2.2,2024-03-01 00:00:00 -0500,2024-05-07 14:53:43 -0400,2026-03-17 09:10:15 -0400,"48"" (OLED48B4AUA); 55"" (OLED55B4AUA); 65"" (OLED65B4AUA); 77"" (OLED77B4AUA); 83"" (OLED83B4AUA)",tv,OLED,,,WOLED,No,,Yes,OLED,OLED,WOLED,,WOLED,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/lg-b4-oled_spd.jpg
88603,LG B5 OLED,LG,lg-b5-oled,https://www.rtings.com/tv/reviews/lg/b5-oled,227,v2.2,2025-04-28 00:00:00 -0400,2025-07-25 11:17:04 -0400,2026-03-11 13:25:39 -0400,"48"" (OLED48B5PUA); 55"" (OLED55B5PUA); 65"" (OLED65B5PUA); 77"" (OLED77B5PUA); 83"" (OLED83B5PUA)",tv,OLED,,,WOLED,No,,Yes,OLED,OLED,WOLED,,WOLED,high,451.8,21.5,534.3,32.6,625.8,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,120Hz,,,,,4k,,,NO_GT,2026-06-01T18:32:22.191541+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/lg-b5-oled_spd.jpg
