product_id,sku_id,size_inches,amazon_asin,bestbuy_sku,best_price,price_source,amazon_price,buy_box_price,list_price,bestbuy_price,bestbuy_regular,rtings_price,price_per_m2,price_date
48867,11971,27.0,,,899.99,rtings,,,,,,899.99,4478.268525390885,2026-06-29
77107,12087,27.0,B0DGMQ2M1G,,,,,,,,,,,2026-06-29
72294,12115,27.0,B0D7NSZRJW,,534.0,amazon,534.0,,534.0,,,534.0,2657.1355154598746,2026-06-29
71604,12187,27.0,,,,,,,,,,,,2026-06-29
60431,12205,32.0,,,,,,,,,,,,2026-06-29
82807,12207,27.0,B0DMPTN8DG,6607888,749.05,amazon_3p,,,,999.99,999.99,999.99,3727.2047899910467,2026-06-29
84697,12213,32.0,B0DTJRWVVW,,934.99,amazon,934.99,,934.99,,,934.99,3312.1270296631315,2026-06-29
41303,12278,24.0,B0CXW2BH8C,,,,,,,,,,,2026-06-29
70557,12322,27.0,B0D682HF6R,,499.99,amazon,499.99,,499.99,,,499.99,2487.9048433984694,2026-06-29
88031,12333,,B0DM6SHQTN,,949.0,amazon,949.0,,949.0,,,949.0,,2026-06-29
88589,12349,27.0,B0F18Q2GPN,,657.96,amazon_3p,,,657.96,,,658.0,3273.9492205093243,2026-06-29
88590,12350,32.0,B0FDCLPZC6,,789.0,amazon_3p,,,789.99,,,799.99,2794.969172295116,2026-06-29
52472,12371,32.0,B0CT441B25,,849.99,amazon_3p,,,849.99,,,849.99,3011.0213520394495,2026-06-29
88487,12372,27.0,,6640501,649.99,bestbuy,,,,649.99,899.99,649.99,3234.291224145625,2026-06-29
81301,12383,27.0,,,,,,,,,,,,2026-06-29
83695,12577,45.0,B0DYG9DKX8,,1447.55,amazon,1447.55,,1447.55,,,1447.55,2593.0358530813082,2026-06-29
88035,12578,27.0,B0DWBSNVHS,,1299.99,amazon,1299.99,,1299.99,,,1299.99,6468.6322073833,2026-06-29
97969,13639,27.0,,6617199,199.99,bestbuy,,,,199.99,299.99,199.99,995.1320819041579,2026-06-29
96004,13718,34.0,B0DZL719V1,,270.72,amazon,270.72,,270.72,,,270.72,1002.5447633693096,2026-06-29
66546,13720,32.0,,,,,,,,,,,,2026-06-29
96306,14136,32.0,B0F1435R1F,6619487,219.99,bestbuy,,,,219.99,319.99,219.99,779.2969178874558,2026-06-29
88033,14138,27.0,B0DVM3BJHK,6619365,849.99,amazon,849.99,,849.99,849.99,1299.99,849.99,4229.473065141833,2026-06-29
94531,14289,27.0,B0DSTPTMNS,6619490,599.99,amazon,599.99,,599.99,599.99,899.99,599.99,2985.4957638965734,2026-06-29
96307,14367,32.0,B0F1GD9YFN,,299.99,amazon,299.99,,299.99,,,299.99,1062.6904968273916,2026-06-29
94176,14435,34.0,B0F6724X5N,,614.99,amazon,614.99,,614.99,,,614.99,2277.463815102289,2026-06-29
77245,14602,27.0,B0C1SDSYV6,,449.0,amazon,449.0,,449.0,,,449.0,2234.1832330364864,2026-06-29
88032,14760,27.0,B0DWYC5S8X,6623962,899.99,amazon,899.99,,899.99,899.99,999.99,899.99,4478.268525390885,2026-06-29
94439,14954,27.0,B0F1GFD44G,,264.97,amazon,264.97,,264.97,,,264.97,1318.4666620438259,2026-06-29
96735,15240,27.0,B0F1GF1KFC,,218.49,amazon,218.49,,218.49,,,218.49,1087.1864021963072,2026-06-29
97892,15381,24.0,B0DVJ3WG52,,199.15,amazon_3p,,,201.52,,,199.1,1254.1740276864045,2026-06-29
113604,15430,42.0,,6621833,899.99,bestbuy,,,,899.99,999.99,899.99,1850.713013044192,2026-06-29
