brand,model,product_category,sizes_available,panel_type,panel_sub_type,backlight_type,resolution,native_refresh_rate,dimming_zone_count,hdr_peak_10pct_nits,sdr_dci_p3_coverage_pct,released_at,review_url,spd_image,qd_confirmed,qd_material,is_pseudo_qd,spd_classification
AOC,AGON PRO AG276QZD2,Monitor,"27"" (AGON PRO AG276QZD2)",OLED,QD-OLED,,2560 x 1440,240.0,,454.0,75.47,2024-09-16 00:00:00 -0400,https://www.rtings.com/monitor/reviews/aoc/agon-pro-ag276qzd2,https://i.rtings.com/assets/products/dQqnVNJY/aoc-agon-pro-ag276qzd2/spd-large.jpg?format=auto,True,InP,False,"Clear QD-OLED emission peaks (G:30.2nm R:37.6nm FWHM, InP)"
AOC,Q27G3XMN,Monitor,"27"" (Q27G3XMN)",VA,VA,Direct,2560 x 1440,165.0,,976.0,91.73,2023-09-01 00:00:00 -0400,https://www.rtings.com/monitor/reviews/aoc/q27g3xmn,https://i.rtings.com/assets/products/AczJDX1r/aoc-q27g3xmn/spd-large.jpg?format=auto,True,InP,False,Standard QDEF with InP (G:30.2nm R:37.6nm FWHM)
AOC,Q27G40XMN,Monitor,"27"" (Q27G40XMN)",VA,VA,Direct,2560 x 1440,180.0,,1263.0,90.28,2025-04-17 00:00:00 -0400,https://www.rtings.com/monitor/reviews/aoc/q27g40xmn,https://i.rtings.com/assets/products/YUPhp9Os/aoc-q27g40xmn/spd-large.jpg?format=auto,True,InP,False,Standard QDEF with InP (G:30.2nm R:37.6nm FWHM)
ASUS,ProArt Display 6K PA32QCV,Monitor,"32"" (ProArt Display 6K PA32QCV)",IPS,IPS,Edge,6016 x 3384,60.0,,599.0,98.4,2025-08-25 00:00:00 -0400,https://www.rtings.com/monitor/reviews/asus/proart-display-6k-pa32qcv,https://i.rtings.com/assets/products/skZrZFzL/asus-proart-display-6k-pa32qcv/spd-large.jpg?format=auto,True,InP,False,Standard QDEF with InP (G:30.2nm R:37.6nm FWHM)
ASUS,ProArt Display PA279CRV,Monitor,"27"" (ProArt Display PA279CRV)",IPS,IPS,Edge,3840 x 2160,60.0,,436.0,98.48,2023-05-01 00:00:00 -0400,https://www.rtings.com/monitor/reviews/asus/proart-display-pa279crv,https://i.rtings.com/assets/products/PbQwLr4n/asus-proart-display-pa279crv/spd-large.jpg?format=auto,True,InP,False,Standard QDEF with InP (G:30.2nm R:37.6nm FWHM)
ASUS,ProArt Display PA27JCV,Monitor,"27"" (ProArt Display PA27JCV)",IPS,IPS,Edge,5120 x 2880,60.0,,632.0,99.45,2024-10-28 00:00:00 -0400,https://www.rtings.com/monitor/reviews/asus/proart-display-pa27jcv,https://i.rtings.com/assets/products/u781NFOY/asus-proart-display-pa27jcv/spd-large.jpg?format=auto,True,InP,False,Standard QDEF with InP (G:30.2nm R:37.6nm FWHM)
ASUS,ROG Strix OLED XG27ACDNG,Monitor,"27"" (ROG Strix OLED XG27ACDNG)",OLED,QD-OLED,,2560 x 1440,360.0,,454.0,99.32,2024-10-21 00:00:00 -0400,https://www.rtings.com/monitor/reviews/asus/rog-strix-oled-xg27acdng,https://i.rtings.com/assets/products/NZ9mkXih/asus-rog-strix-oled-xg27acdng/spd-large.jpg?format=auto,True,InP,False,"Clear QD-OLED emission peaks (G:30.2nm R:37.6nm FWHM, InP)"
ASUS,ROG Strix Pulsar XG27AQNGV,Monitor,"27"" (ROG Strix Pulsar XG27AQNGV)",IPS,IPS,Edge,2560 x 1440,360.0,,458.0,88.26,2026-01-07 00:00:00 -0500,https://www.rtings.com/monitor/reviews/asus/rog-strix-pulsar-xg27aqngv,https://i.rtings.com/assets/products/vCxRl2mk/asus-rog-strix-pulsar-xg27aqngv/spd-large.jpg?format=auto,True,InP,False,Standard QDEF with InP (G:30.2nm R:37.6nm FWHM)
ASUS,ROG Strix XG27ACS,Monitor,"27"" (ROG Strix XG27ACS); 27"" (ROG Strix XG27ACS-W)",IPS,IPS,Edge,2560 x 1440,180.0,,439.0,91.09,2024-03-31 00:00:00 -0400,https://www.rtings.com/monitor/reviews/asus/rog-strix-xg27acs,https://i.rtings.com/assets/products/MQEzPzci/asus-rog-strix-xg27acs/spd-large.jpg?format=auto,True,InP,False,Standard QDEF with InP (G:30.2nm R:37.6nm FWHM)
ASUS,ROG Swift OLED PG27UCDM,Monitor,"27"" (ROG Swift OLED PG27UCDM)",OLED,QD-OLED,,3840 x 2160,240.0,,460.0,99.42,2025-01-21 00:00:00 -0500,https://www.rtings.com/monitor/reviews/asus/rog-swift-oled-pg27ucdm,https://i.rtings.com/assets/products/1zWh9st2/asus-rog-swift-oled-pg27ucdm/spd-large.jpg?format=auto,True,InP,False,"Clear QD-OLED emission peaks (G:30.2nm R:37.6nm FWHM, InP)"
ASUS,ROG Swift OLED PG32UCDM,Monitor,"32"" (ROG Swift OLED PG32UCDM)",OLED,QD-OLED,,3840 x 2160,240.0,,466.0,98.9,2024-03-01 00:00:00 -0500,https://www.rtings.com/monitor/reviews/asus/rog-swift-oled-pg32ucdm,https://i.rtings.com/assets/products/RjyjAuP9/asus-rog-swift-oled-pg32ucdm/spd-large.jpg?format=auto,True,InP,False,"Clear QD-OLED emission peaks (G:30.2nm R:37.6nm FWHM, InP)"
ASUS,ROG Swift Pro PG248QP,Monitor,"24"" (ROG Swift Pro PG248QP)",TN,TN,Edge,1920 x 1080,500.0,,412.0,88.08,2023-11-17 00:00:00 -0500,https://www.rtings.com/monitor/reviews/asus/rog-swift-pro-pg248qp,https://i.rtings.com/assets/products/6giHeecz/asus-rog-swift-pro-pg248qp/spd-large.jpg?format=auto,True,InP,False,Standard QDEF with InP (G:30.2nm R:37.6nm FWHM)
ASUS,TUF Gaming VG27AQL1A,Monitor,"27"" (TUF Gaming VG27AQL1A)",IPS,IPS,Edge,2560 x 1440,144.0,,475.0,86.51,2020-07-29 00:00:00 -0400,https://www.rtings.com/monitor/reviews/asus/tuf-gaming-vg27aql1a,https://i.rtings.com/assets/products/VzTWXnBK/asus-tuf-gaming-vg27aql1a/spd-large.jpg?format=auto,True,InP,False,Standard QDEF with InP (G:30.2nm R:37.6nm FWHM)
ASUS,TUF VG27AQ,Monitor,"27"" (TUF VG27AQ)",IPS,IPS,Edge,2560 x 1440,144.0,,357.0,80.48,2019-08-14 00:00:00 -0400,https://www.rtings.com/monitor/reviews/asus/tuf-vg27aq,https://i.rtings.com/assets/products/JjVAM2oP/asus-tuf-vg27aq/spd-large.jpg?format=auto,True,InP,False,Standard QDEF with InP (G:30.2nm R:37.6nm FWHM)
Acer,Nitro XV275K P3biipruzx,Monitor,"27"" (Nitro XV275K P3biipruzx)",IPS,IPS,Direct,3840 x 2160,160.0,,1412.0,95.73,2023-06-01 00:00:00 -0400,https://www.rtings.com/monitor/reviews/acer/nitro-xv275k-p3biipruzx,https://i.rtings.com/assets/products/pEWwfO4G/acer-nitro-xv275k-p3biipruzx/spd-large.jpg?format=auto,True,InP,False,Standard QDEF with InP (G:30.2nm R:37.6nm FWHM)
Acer,Nitro XV275K P5biipruzx,Monitor,"27"" (Nitro XV275K P5biipruzx)",IPS,IPS,Direct,3840 x 2160,160.0,,1243.0,94.99,2025-09-26 00:00:00 -0400,https://www.rtings.com/monitor/reviews/acer/nitro-xv275k-p5biipruzx,https://i.rtings.com/assets/products/qZ0l9aSy/acer-nitro-xv275k-p5biipruzx/spd-large.jpg?format=auto,True,InP,False,Standard QDEF with InP (G:30.2nm R:37.6nm FWHM)
